account_external_ref,external_id,client_id,total_income,total_spend,total_txn_count,gambling_spend,gambling_txn_count,gambling_days,gambling_pct_of_income,gambling_txn_pct,gambling_pct_of_spend,gambling_day_bucket,risk_score,risk_bucket,risk_reason
e0dfd281-0f57-4268-8ff9-bcb63254e0ff,e0dfd281-0f57-4268-8ff9-bcb63254e0ff,53AB51BA-8CA1-4D62-967E-0D2661FF9F01,0.0,-6.0,2,-6.0,2,1,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
CDDFEC816D611B3A60BDACA51AD0B6CF,CDDFEC816D611B3A60BDACA51AD0B6CF,547faf96-14e0-44d7-9a65-c5531bbb13e4,0.0,-10.0,1,-10.0,1,1,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
10000000000026197641,10000000000026197641,d70263c4-183a-4970-ae6a-437d3b4e1d76,0.0,-5.0,1,-5.0,1,1,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
acc_0000At8tp3TB8zYUc5QFxy,acc_0000At8tp3TB8zYUc5QFxy,7e60b482-55d5-46fb-a6ca-024b4ef2d396,0.0,-10.0,1,-10.0,1,1,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
acc_0000AujBsGCH7TikpRDua1,acc_0000AujBsGCH7TikpRDua1,accd07e9-f45f-4824-9956-a67ea2ddb070,0.0,-35.0,3,-35.0,3,1,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
wJoctgBdzL_2AtipmdCjsw,wJoctgBdzL_2AtipmdCjsw,d4f0a0a4-a936-4684-8696-94d261ad7b2d,0.0,-28.0,2,-28.0,2,2,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
10000000000026211495,10000000000026211495,ffc291ac-717b-46fb-bd7e-62a2db015f94,0.0,-70.0,3,-70.0,3,2,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
10000000000019850092,10000000000019850092,b0bcb766-5529-4353-8f5e-86d53d8a2c7d,0.0,-57.54,8,-37.55,7,1,0.0,0.875,0.65,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
C19A5C348315744C55EDC8F249E29A60,C19A5C348315744C55EDC8F249E29A60,61f62316-9d27-48ff-933e-0c01d5139dc6,1244.97,-1239.0,16,-1239.0,13,1,99.52,0.8125,1.0,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
6ed605fe-3007-30e5-abad-cca05b0abad4,6ed605fe-3007-30e5-abad-cca05b0abad4,e75c2517-3866-49fd-8e66-bcae2e2ec881,11.0,-126.88,15,-117.0,12,1,1063.64,0.8,0.92,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
acc_0000AZj5r5TJwF51YmWQTK,acc_0000AZj5r5TJwF51YmWQTK,2a511b35-480a-4daa-9af9-df6c02f4fc84,220.0,-849.21,25,-846.0,20,2,384.55,0.8,1.0,"[0, 5)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
10000000000025792066,10000000000025792066,728bbcb3-6ddf-4135-83d4-2ac740ff3af5,0.0,-41.0,5,-31.0,4,1,0.0,0.8,0.76,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
6a70a2db-8953-4afb-9e7f-0dd04cfd4e18,6a70a2db-8953-4afb-9e7f-0dd04cfd4e18,33eebe69-b7c7-46d0-af5e-0054d5b38b06,716.67,-1219.25,46,-1081.0,36,5,150.84,0.7826000000000001,0.89,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
10000000000018863296,10000000000018863296,f7845944-548d-4cf4-8672-fd47ce36c140,10352.8,-10625.47,764,-6204.21,580,30,59.93,0.7592,0.58,"[30, 35)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
10000000000026427474,10000000000026427474,eac827ed-0e2f-46e8-8ee6-813a44b2ccdb,10165.86,-11179.18,726,-7897.04,550,26,77.68,0.7576,0.71,"[25, 30)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
D9AE11D1607EE42C3B2E004899E65F83,D9AE11D1607EE42C3B2E004899E65F83,989dfcb9-066b-4963-977e-351a1d654a72,4949.41,-5518.72,1163,-2901.23,873,19,58.62,0.7506,0.53,"[15, 20)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
30C011635190541724C423A4F74656DA,30C011635190541724C423A4F74656DA,24e3be02-91b6-403f-858e-e5e4b76bdf6b,669.2,-722.18,28,-689.0,21,2,102.96,0.75,0.95,"[0, 5)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
098DB0F70D0297393E5070628248BFB2,098DB0F70D0297393E5070628248BFB2,738700E3-035C-42DF-A969-35C99C9DB276,0.0,-150.9,8,-95.0,6,2,0.0,0.75,0.63,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
acc_0000A5bYmZfADS0IZ9Htrd,acc_0000A5bYmZfADS0IZ9Htrd,2e58135c-9b0e-458f-953b-b71a8942c38e,13863.24,-13922.2,1068,-4832.88,800,13,34.86,0.7491,0.35,"[10, 15)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
1D3A1B8F4BA78C96F45FE69907A0746F,1D3A1B8F4BA78C96F45FE69907A0746F,c0f95594-f4da-4163-b0fd-cb9a713904b0,6380.61,-7880.46,411,-5956.63,306,20,93.36,0.7445,0.76,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
d3bd022c-b6f4-4e37-aeee-ba582e1308ef,d3bd022c-b6f4-4e37-aeee-ba582e1308ef,8f9e537e-0d53-45a8-9197-e5e9e0b3e251,888.6,-1017.79,92,-559.92,68,13,63.01,0.7391,0.55,"[10, 15)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
10000000000023649953,10000000000023649953,02f5c468-e52e-459d-97f9-db819a634c2c,16419.14,-16256.0,260,-7625.0,192,8,46.44,0.7384999999999999,0.47,"[5, 10)",3,🟠 High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions"
0c2ae161-ed9e-4e23-915d-caab926f0acf,0c2ae161-ed9e-4e23-915d-caab926f0acf,451148d9-9a15-4cce-b95a-1a96d24f7c13,800.0,-782.12,22,-702.0,16,1,87.75,0.7273000000000001,0.9,"[0, 5)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
649E55FF8DD4484398B50E3DCBC32A78,649E55FF8DD4484398B50E3DCBC32A78,e9d9b67d-475a-4533-89f5-38b385dee511,5156.13,-5938.22,248,-3191.15,179,19,61.89,0.7218000000000001,0.54,"[15, 20)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
0FD1D935DB4190820F1E235281B96090,0FD1D935DB4190820F1E235281B96090,5e08f315-edac-4678-80b0-d5bdd6cb5a91,27207.36,-27267.8,440,-18950.0,310,20,69.65,0.7045,0.69,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
970ed456-8c7a-4062-aa90-c2ec6070bee5,970ed456-8c7a-4062-aa90-c2ec6070bee5,933afc80-39b8-4d50-a08d-1a15e3af76c1,9881.97,-10455.47,911,-5936.0,639,23,60.07,0.7014,0.57,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
10000000000026646924,10000000000026646924,d467cc47-5989-4ed7-8766-7bcda17d028b,909.23,-1595.63,120,-919.12,83,14,101.09,0.6917,0.58,"[10, 15)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
B596E7DF602D9F76CE99EE3D8FA77359,B596E7DF602D9F76CE99EE3D8FA77359,fd1ed613-4a02-407a-b156-98470f291723,11225.69,-11234.42,385,-8435.46,266,21,75.14,0.6909000000000001,0.75,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
41056747,41056747,a1aed3cb-5922-4c37-b91b-52ea7d3eb7b5,5214.91,-5215.18,394,-2742.48,271,22,52.59,0.6878,0.53,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
41056747,41056747,a5a41fc3-fc1f-4200-a5a5-046b29df1f21,10429.82,-10430.36,788,-5484.96,542,22,52.59,0.6878,0.53,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
10000000000026558819,10000000000026558819,0D59D6A5-4986-465B-97CC-0859B5E3D041,2440.6,-2489.52,178,-1227.0,122,8,50.27,0.6854,0.49,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
ba6339ad-e0ff-372c-bc05-09b5ec2f99a6,ba6339ad-e0ff-372c-bc05-09b5ec2f99a6,0704FD06-F1B0-44DB-BC1B-EE692E145282,3789.51,-4409.1,163,-1190.35,110,22,31.41,0.6748000000000001,0.27,"[20, 25)",3,🟠 High,"Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
ba6339ad-e0ff-372c-bc05-09b5ec2f99a6,ba6339ad-e0ff-372c-bc05-09b5ec2f99a6,cdd06244-346a-4d79-8c26-a011a20262a4,3789.51,-4409.1,163,-1190.35,110,22,31.41,0.6748000000000001,0.27,"[20, 25)",3,🟠 High,"Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
acc_0000AfsDxFJX5GhK8JhIYd,acc_0000AfsDxFJX5GhK8JhIYd,9a1e01d3-9b04-4cb4-9ddb-a3154de142e3,1400.43,-1400.0,100,-1050.0,67,5,74.98,0.67,0.75,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
acc_0000AKHOzFL0u8LZz0Fe0w,acc_0000AKHOzFL0u8LZz0Fe0w,48b7a7e9-b74d-4508-af7e-af53eda37871,26.05,-26.05,3,-26.05,2,1,100.0,0.6667000000000001,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
AC0859290D7987D810DC2DE32A93C9DC,AC0859290D7987D810DC2DE32A93C9DC,39afff33-a5bf-42b3-b952-32908f8f1e93,0.0,-6.89,3,-5.0,2,1,0.0,0.6667000000000001,0.73,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
QI05B23Fsdj6UgskuHxmCg,QI05B23Fsdj6UgskuHxmCg,38f73df4-eb50-4d8e-a901-2d5c6e9677cf,1632.78,-1632.49,104,-1005.0,69,7,61.55,0.6635,0.62,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
acc_0000AFkKmK335Ga9oxAzRZ,acc_0000AFkKmK335Ga9oxAzRZ,dd3106db-16a0-4051-bce7-fdd5196214f1,13007.4,-13008.39,801,-7600.38,531,10,58.43,0.6629,0.58,"[10, 15)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
acc_0000AFkKmK335Ga9oxAzRZ,acc_0000AFkKmK335Ga9oxAzRZ,94c2cd2f-c70f-4125-8eb1-5e5d36882876,8671.6,-8672.26,534,-5066.92,354,10,58.43,0.6629,0.58,"[10, 15)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
A0346A4055F20CB7A2A833AB9328F41F,A0346A4055F20CB7A2A833AB9328F41F,8cc5a93a-53bd-4c42-b164-7cebd103d066,1082.39,-2145.94,100,-1267.0,66,4,117.06,0.66,0.59,"[0, 5)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
acc_00009YfZlJI8wrMFTbuz5d,acc_00009YfZlJI8wrMFTbuz5d,5c3834af-c1d0-46a1-8e4d-eaadf61cd106,1331.8,-1330.98,211,-901.0,139,10,67.65,0.6587999999999999,0.68,"[10, 15)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
acc_00009SWXOJmAktJx0coRlZ,acc_00009SWXOJmAktJx0coRlZ,42c7e190-45ce-44ed-90f6-0f0221c8d7fd,1930.37,-2021.61,323,-1394.05,212,21,72.22,0.6563,0.69,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
D30A61A6E1AEE6A586FE5F91EE2883B1,D30A61A6E1AEE6A586FE5F91EE2883B1,6C6B8CD4-3A88-47AB-88C9-99A5335797B5,156.1,-166.0,92,-151.0,60,11,96.73,0.6522,0.91,"[10, 15)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
ApI0sxAblUP2rlh3vOMxPQ,ApI0sxAblUP2rlh3vOMxPQ,bc89fa8e-af45-487f-a851-6b796abb4055,3188.61,-2804.75,238,-945.0,155,17,29.64,0.6513,0.34,"[15, 20)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
YF3GhYtmaIc7b2oAmc68-w,YF3GhYtmaIc7b2oAmc68-w,f65534b6-ec42-46d6-b43c-24b336afb637,3965.1,-4045.51,326,-2635.0,211,24,66.45,0.6472,0.65,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
eab3da11-e5f0-355d-b352-df523571aa24,eab3da11-e5f0-355d-b352-df523571aa24,1765dc6c-2bd7-421f-aa57-ab834a685bc0,8191.56,-10492.74,401,-6716.0,259,11,81.99,0.6459,0.64,"[10, 15)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
7cab7dc8-69e4-3576-8caa-03bfb6f16cf1,7cab7dc8-69e4-3576-8caa-03bfb6f16cf1,1C48CA89-6F1E-425C-A82B-09AB7363F5E3,5101.48,-4305.03,189,-1810.0,122,6,35.48,0.6455,0.42,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
6F6A7FCE1120FCDE8112441DF1FBEFC4,6F6A7FCE1120FCDE8112441DF1FBEFC4,b14ab43a-f6ed-4c7e-be84-1dd20fc86158,5752.75,-6368.99,183,-5127.5,118,8,89.13,0.6448,0.81,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
10000000000020962772,10000000000020962772,5761e6d8-4ba0-4ec5-a04d-43622d0074d4,10459.55,-11843.62,861,-5592.0,554,24,53.46,0.6434000000000001,0.47,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
10000000000020600514,10000000000020600514,9e0665da-33e1-49b3-a68f-35f72af328d4,4849.35,-4717.85,325,-1887.77,208,16,38.93,0.64,0.4,"[15, 20)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
88F8FCE220588C94E320B8A97F02DE71,88F8FCE220588C94E320B8A97F02DE71,6de10c81-f424-4aa1-a24b-0ee44201c353,8795.16,-9369.74,362,-7389.89,231,17,84.02,0.6381,0.79,"[15, 20)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
4DAA9B0BB6D13C4EF9020D11B03E8DE7,4DAA9B0BB6D13C4EF9020D11B03E8DE7,6e9195b7-d664-4ba8-bcf5-3a51310b2f49,4731.2,-6561.59,367,-3759.8,231,27,79.47,0.6294,0.57,"[25, 30)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
10000000000026454355,10000000000026454355,796A95A0-2E55-4A93-AA3C-7ACDDAEEF4FF,1348.42,-2027.91,91,-515.0,57,6,38.19,0.6264,0.25,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
0B3625A35B839CC8FD9244D27F42A2BF,0B3625A35B839CC8FD9244D27F42A2BF,5d3c6786-9ebb-4421-a6e6-054f67cacdb8,618.0,-618.0,56,-528.0,35,2,85.44,0.625,0.85,"[0, 5)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
28141162-45cb-4e98-ba42-ddb6564acbae,28141162-45cb-4e98-ba42-ddb6564acbae,1d8eaae5-17b9-4ab9-9c8b-ea8d0bf9d74d,593.74,-593.76,53,-320.06,33,4,53.91,0.6225999999999999,0.54,"[0, 5)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
5C811519FDA2E2881F5747F68DC3014B,5C811519FDA2E2881F5747F68DC3014B,96ab06dc-1556-491f-8408-7f9921d38d56,5644.8,-6181.03,378,-2879.5,233,11,51.01,0.6164000000000001,0.47,"[10, 15)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
F91553B603408F5AD8FD283D0CD59C93,F91553B603408F5AD8FD283D0CD59C93,57bb9004-7f2d-4f94-a7a2-115a72ddf1a1,0.0,-317.45,13,-122.0,8,1,0.0,0.6154,0.38,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
9F4DE400FB9F273235CEC6CA35B3632C,9F4DE400FB9F273235CEC6CA35B3632C,f77f7f80-31b3-41d3-8633-d385c9f138b0,18226.38,-18192.46,663,-7905.0,405,25,43.37,0.6109,0.43,"[25, 30)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
10000000000020676411,10000000000020676411,7417b875-b416-4975-8d4b-73b166092b72,28263.6,-31634.92,1017,-15133.63,621,27,53.54,0.6106,0.48,"[25, 30)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
275ca570-2eb5-3fe9-a7ac-aa715bc6440a,275ca570-2eb5-3fe9-a7ac-aa715bc6440a,dd7e2d10-4c28-40db-87c6-4f3c48f139eb,2804.42,-2695.68,177,-920.38,108,15,32.82,0.6102000000000001,0.34,"[15, 20)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
acc_0000A31y1wcWYNHrDwDvFZ,acc_0000A31y1wcWYNHrDwDvFZ,5da2dbd7-5e77-46b6-a78e-19eff2d9137e,20168.24,-22348.8,2074,-10938.46,1264,23,54.24,0.6095,0.49,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
acc_0000A31y1wcWYNHrDwDvFZ,acc_0000A31y1wcWYNHrDwDvFZ,cd4395a8-b8b7-469b-ade2-e146e5954b4c,30252.36,-33523.2,3111,-16407.69,1896,23,54.24,0.6095,0.49,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
f29e9575-b82c-499c-97fd-e445dd115fa4,f29e9575-b82c-499c-97fd-e445dd115fa4,e43d2892-3bde-412f-b283-cbf85e73b364,2469.0,-2469.0,110,-2061.0,67,9,83.48,0.6091,0.83,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
10000000000026302322,10000000000026302322,f57cb2f0-2986-45cc-98c8-ed1c7f8f9cb9,535.0,-534.38,23,-280.0,14,1,52.34,0.6087,0.52,"[0, 5)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
04332529-ac8a-40af-848f-257b962624a0,04332529-ac8a-40af-848f-257b962624a0,7cacef14-6b98-4568-9b9a-373703a99ad6,5196.47,-5246.46,445,-3010.37,270,25,57.93,0.6067,0.57,"[25, 30)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
30ABD02679B457BCFDEA4A078E9494DB,30ABD02679B457BCFDEA4A078E9494DB,24659e85-1d63-472f-86c3-cf3375da4cd4,4720.0,-4805.11,313,-3646.0,189,34,77.25,0.6038,0.76,"[30, 35)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
8b517120-347f-4cfc-a103-0c04af5c26ff,8b517120-347f-4cfc-a103-0c04af5c26ff,c6d8e821-0b96-4e40-8a15-1586b5e02f46,1900.26,-1900.24,73,-560.35,44,15,29.49,0.6027,0.29,"[15, 20)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
acc_0000AKqZfS0jyZwMM49UO1,acc_0000AKqZfS0jyZwMM49UO1,4ed86f81-eab7-45c7-9ce3-0eb6329a6172,2693.39,-2463.54,226,-1339.49,136,20,49.73,0.6018,0.54,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
0c061542-5116-3302-9023-8bdbde35cad1,0c061542-5116-3302-9023-8bdbde35cad1,1EA6E2B3-C425-4154-A1F3-21364BC2989C,1263.67,-2563.49,25,-1339.5,15,7,106.0,0.6,0.52,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
67e805f7-b6de-3605-8d35-ac959fa2378c,67e805f7-b6de-3605-8d35-ac959fa2378c,503558fb-fde2-4ffa-a476-1fbe51b84450,28543.32,-28745.41,539,-18412.28,323,32,64.51,0.5992999999999999,0.64,"[30, 35)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
7F86D57B366CEE2DAB4646E7C824CFFF,7F86D57B366CEE2DAB4646E7C824CFFF,33C7D57D-83A7-4AF0-99B1-766CBC2BF5F3,500.0,-550.32,27,-305.0,16,2,61.0,0.5926,0.55,"[0, 5)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
5b8c006e-58b2-3bb2-8125-66d40b958ac6,5b8c006e-58b2-3bb2-8125-66d40b958ac6,b49287a3-f4cc-458a-9443-798c86f53990,6634.16,-7471.29,269,-3837.0,159,13,57.84,0.5911,0.51,"[10, 15)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
DBF9EE6204B14244333E69BA0F28BDBD,DBF9EE6204B14244333E69BA0F28BDBD,c6985576-2fbc-4be3-b305-034108da8d87,3349.63,-4054.68,291,-998.0,172,19,29.79,0.5911,0.25,"[15, 20)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
6c01fa1b-c1b1-452b-b35b-db27c4e8528c,6c01fa1b-c1b1-452b-b35b-db27c4e8528c,bea16fc3-2854-4b7d-9033-3577ef8d7198,1786.57,-2026.33,124,-1797.0,73,9,100.58,0.5887,0.89,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
321aa8d1-70eb-3e57-9340-809d997d61ca,321aa8d1-70eb-3e57-9340-809d997d61ca,20110e86-ed0e-473f-a95d-048ca17094e2,3889.0,-3888.66,160,-2220.06,94,5,57.09,0.5875,0.57,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
d667b3ce-1b61-4e23-afdc-1ca8d7c91bd8,d667b3ce-1b61-4e23-afdc-1ca8d7c91bd8,31966d4e-08e8-47e6-b56a-8604ce1b9178,160.0,-1416.7,46,-569.0,27,5,355.63,0.5870000000000001,0.4,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
d667b3ce-1b61-4e23-afdc-1ca8d7c91bd8,d667b3ce-1b61-4e23-afdc-1ca8d7c91bd8,23E3FCFA-BB2E-4519-966D-B1B024F2983A,160.0,-1416.7,46,-569.0,27,5,355.63,0.5870000000000001,0.4,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
D8FB71455E3E9290BA1A9C688B53C9F4,D8FB71455E3E9290BA1A9C688B53C9F4,4dcc61ea-d265-456e-9a51-1965516857ba,6645.0,-5567.1,195,-4149.0,114,8,62.44,0.5846,0.75,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
e546396f-de91-375d-85f6-32163dccc8e9,e546396f-de91-375d-85f6-32163dccc8e9,C0BA30EE-AA5B-4A70-814C-93FF14CBBDCD,60.14,-131.06,12,-70.0,7,1,116.4,0.5832999999999999,0.53,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
10000000000018945794,10000000000018945794,94d64cce-e6b7-4c90-b944-6932ef794c61,14279.57,-15515.96,829,-9339.0,483,22,65.4,0.5826,0.6,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
7486f9cc-057e-32c6-b0ac-f588cfdbd767,7486f9cc-057e-32c6-b0ac-f588cfdbd767,56d6bb5d-4026-4f9e-a11a-9873e9dc05e3,10263.8,-10333.61,479,-4769.7,279,22,46.47,0.5825,0.46,"[20, 25)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
EnJwDM8scRi2_l4Sp8WGnjaa-WWeDvDjDI5TsX07,EnJwDM8scRi2_l4Sp8WGnjaa-WWeDvDjDI5TsX07,9bf0a616-f044-4b5f-a86e-d6ce9f172891,6816.18,-6946.18,364,-1747.94,211,34,25.64,0.5797,0.25,"[30, 35)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
O5eYevAf_03IVYpwmiNRO5RD1hT8JXMXlVD0fBc3,O5eYevAf_03IVYpwmiNRO5RD1hT8JXMXlVD0fBc3,027691cd-9177-478c-ad40-154a702e1762,16983.63,-17950.92,1003,-8018.0,579,33,47.21,0.5772999999999999,0.45,"[30, 35)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on ≥20 days"
acc_0000AejcmpofjRdBPFLOkM,acc_0000AejcmpofjRdBPFLOkM,0bfed175-7996-425b-814b-dac6054631d6,1222.2,-1222.2,149,-666.67,86,7,54.55,0.5771999999999999,0.55,"[5, 10)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
b1f2f7ae-f3cd-4daa-8a89-201f00c775d5,b1f2f7ae-f3cd-4daa-8a89-201f00c775d5,389d08eb-30bd-4dd0-b8b8-57e121777e09,6321.76,-6321.95,331,-3374.81,191,19,53.38,0.5770000000000001,0.53,"[15, 20)",4,🔴 Very High,"High transaction count (>200), Gambling >25% of transactions, Gambling >50% of transactions, Gambled on 10–19 days"
6D6862FC4A07C3AB1F3D916008DEC8ED,6D6862FC4A07C3AB1F3D916008DEC8ED,9fcaa402-c4f7-4b01-88b5-810143eda016,130.0,-1372.38,33,-202.0,19,4,155.38,0.5758,0.15,"[0, 5)",2,🟡 Medium,"Gambling >25% of transactions, Gambling >50% of transactions"
