account_external_ref,external_id,client_id,total_income,total_spend,total_txn_count,gambling_spend,gambling_txn_count,gambling_days,gambling_pct_of_income,gambling_txn_pct,gambling_pct_of_spend,gambling_day_bucket,risk_score,risk_bucket,risk_reason
f34126cd-0d5e-3f19-b03c-68a7cf6335da,f34126cd-0d5e-3f19-b03c-68a7cf6335da,5a3dede7-cab1-4d55-a201-0316a4da6d6b,2831.91,-2816.89,26,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
47ce5f51-8dcf-3b4a-9395-6a0ca09c1e9c,47ce5f51-8dcf-3b4a-9395-6a0ca09c1e9c,c4562e05-9e04-4ca5-9963-c686eccadcf7,19213.6,-20626.96,1136,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
acc_00009qG0BE3VPxcOEAr3yr,acc_00009qG0BE3VPxcOEAr3yr,9718b8a8-7393-439c-96fd-e2da3c144b11,22203.74,-22203.74,364,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
#NAME?,#NAME?,9a0a58a2-8dfd-4c9d-98ba-d95eea9f68e5,2678.1,-3429.9,620,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
9e1f1775-97db-3059-ae28-b06e4fa789bb,9e1f1775-97db-3059-ae28-b06e4fa789bb,10f06d3d-76f2-44bb-857c-39d5e3d9f2e6,3768.81,-3778.93,107,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
2458189b-4b98-35c2-b213-d7f18c04cc03,2458189b-4b98-35c2-b213-d7f18c04cc03,d1195a74-def6-45b5-a1cd-19169c575f3e,7348.68,-9575.36,116,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
26C32D1F351A5A9977E65BA467B37220,26C32D1F351A5A9977E65BA467B37220,79cc89e2-f15f-479c-a709-868271e2fd4c,9990.55,-10575.89,102,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
10000000000026390817,10000000000026390817,f671ae45-cbdb-4167-8851-a553948e5005,4690.37,-7695.58,34,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
AzACule40RTK_xAWSkFwhmDibVqrp4HPZUoaLAv4,AzACule40RTK_xAWSkFwhmDibVqrp4HPZUoaLAv4,3751c68e-2bf6-43c7-954c-49e21c464da2,14781.3,-13458.3,52,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
cbb8296a-321c-3242-9047-5c9e32998ebf,cbb8296a-321c-3242-9047-5c9e32998ebf,97EE2DCB-1B1A-4CED-8361-B23230C41ED2,322.51,-173.43,23,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
66a07ab8-6ff3-3ad7-863b-164ac7a2f40d,66a07ab8-6ff3-3ad7-863b-164ac7a2f40d,ed4f899e-9503-4682-b522-e9ee3340b0fd,4593.91,-4002.72,71,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
aa5f6773-e9cb-34e7-b1ca-6ac79bf18fbe,aa5f6773-e9cb-34e7-b1ca-6ac79bf18fbe,15d5a6f2-97b0-4fb4-ab5a-edcb528fec0f,3861.44,-5424.64,100,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
166a029a-7b2e-3493-8f83-28f93a69ea15,166a029a-7b2e-3493-8f83-28f93a69ea15,b62c8353-b86a-4602-8a6e-45fcbf316c81,1979.95,-2418.68,52,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
90b119ac-ef02-3cc2-819c-932ecfe0a4b2,90b119ac-ef02-3cc2-819c-932ecfe0a4b2,bb79fda5-8327-4201-853a-d6e26d609b43,1435.0,-1344.37,55,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
cfeb00c4-3da7-3ffe-98cb-8209cf5e67af,cfeb00c4-3da7-3ffe-98cb-8209cf5e67af,a51d970c-26ac-4333-8f9c-7a9becbae916,1507.5,-1507.5,16,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
7c130951-7f04-3555-98ec-4c91bcb6755b,7c130951-7f04-3555-98ec-4c91bcb6755b,be0041ca-ab81-4d7a-a7ae-427e0c1bc2a4,864.47,-1268.29,17,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
tP12MWOy69LP1wn9RpU5_g,tP12MWOy69LP1wn9RpU5_g,8AEE8318-E210-49EE-97EC-23D187197072,0.0,-490.92,28,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
27642039,27642039,49bf39e4-e802-419c-a949-58ff354d4e98,785.0,-700.21,34,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
EFECAB58F6FD5E4653F646A930E47D53,EFECAB58F6FD5E4653F646A930E47D53,a16878e9-b6ee-42fa-8d68-4853f9f711c0,16459.68,-2774.66,81,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
10000000000024991853,10000000000024991853,ca588385-1992-41a1-b613-ed91c561b8b6,10.0,-12.0,3,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
10000000000018809986,10000000000018809986,4497e79e-8d9c-4824-af5f-f1ffe1e699bb,10.0,-20.0,3,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
d5407e86-9e27-4bfe-ac21-141532c11a19,d5407e86-9e27-4bfe-ac21-141532c11a19,841e1877-d38b-44b9-8444-ef23bdfe0d68,0.0,-1885.49,6,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
7017242c-691a-4d48-8f0e-892456e00356,7017242c-691a-4d48-8f0e-892456e00356,efaa0060-2918-4570-b072-6105775cfd6b,4969.21,-4987.2,276,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
d10edb4e-9d8b-39fe-9192-785a1d522a87,d10edb4e-9d8b-39fe-9192-785a1d522a87,0e10c945-9628-4c11-a9a7-be54fa8190c0,4264.02,-5193.68,176,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
acc_00009xLubjfPOsqLmi8Gvp,acc_00009xLubjfPOsqLmi8Gvp,e8a252dd-60e5-49eb-86b0-615406bee2a3,21468.16,-21663.75,247,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
4B1EEFC3B7F1578902C06B81BBFD7D4E,4B1EEFC3B7F1578902C06B81BBFD7D4E,B785E1FB-FD70-4DCE-AAEC-D42D3342AADD,4979.04,-4104.98,87,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
3cccf0bb-8b25-338f-a732-d51eb3fa512c,3cccf0bb-8b25-338f-a732-d51eb3fa512c,55ac5fef-1722-49d4-ab89-0ff6ae02d632,5637.1,-5908.69,91,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
C1s8KDpvhybrurSS3WTbWQ,C1s8KDpvhybrurSS3WTbWQ,d060f586-f726-4626-99e3-ac2abba6a98a,2153.26,-2378.46,148,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
